time_sec,time_nsec,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1733338803,690223552,0,0,0,0,0,1e-11,1
1733338803,710180549,0,0,0,0,0,1e-11,1
1733338803,729970983,0,0,0,0,0,1e-11,1
1733338803,750048685,0,0,0,0,0,1e-11,1
1733338803,770089106,0,0,0,0,0,1e-11,1
1733338803,790050166,0,0,0,0,0,1e-11,1
1733338803,810059995,0,0,0,0,0,1e-11,1
1733338803,830102112,0,0,0,0,0,1e-11,1
1733338803,850054340,0,0,0,0,0,1e-11,1
1733338803,870147242,0,0,0,0,0,1e-11,1
1733338803,893270696,0,0,0,0,0,1e-11,1
1733338803,910025874,0,0,0,0,0,1e-11,1
1733338803,932683341,0,0,0,0,0,1e-11,1
1733338803,949972571,0,0,0,0,0,1e-11,1
1733338803,971904912,0,0,0,0,0,1e-11,1
1733338803,989990309,0,0,0,0,0,1e-11,1
1733338804,9942089,0,0,0,0,0,1e-11,1
1733338804,29967566,0,0,0,0,0,1e-11,1
1733338804,49999251,0,0,0,0,0,1e-11,1
1733338804,69942487,0,0,0,0,0,1e-11,1
1733338804,89964476,0,0,0,0,0,1e-11,1
1733338804,109967233,0,0,0,0,0,1e-11,1
1733338804,130389353,0,0,0,0,0,1e-11,1
1733338804,149993386,0,0,0,0,0,1e-11,1
1733338804,173233865,0,0,0,0,0,1e-11,1
1733338804,190000692,0,0,0,0,0,1e-11,1
1733338804,211766087,0,0,0,0,0,1e-11,1
1733338804,230002525,0,0,0,0,0,1e-11,1
1733338804,250201923,0,0,0,0,0,1e-11,1
1733338804,269951142,0,0,0,0,0,1e-11,1
1733338804,293473991,0,0,0,0,0,1e-11,1
1733338804,309957775,0,0,0,0,0,1e-11,1
1733338804,330353335,0,0,0,0,0,1e-11,1
1733338804,349999929,0,0,0,0,0,1e-11,1
1733338804,371729612,0,0,0,0,0,1e-11,1
1733338804,389967682,0,0,0,0,0,1e-11,1
1733338804,410295113,0,0,0,0,0,1e-11,1
1733338804,430055180,0,0,0,0,0,1e-11,1
1733338804,450832695,0,0,0,0,0,1e-11,1
1733338804,470086486,0,0,0,0,0,1e-11,1
1733338804,490088058,0,0,0,0,0,1e-11,1
1733338804,510900838,0,0,0,0,0,1e-11,1
1733338804,530979307,0,0,0,0,0,1e-11,1
1733338804,549997544,0,0,0,0,0,1e-11,1
1733338804,570070605,0,0,0,0,0,1e-11,1
1733338804,591783520,0,0,0,0,0,1e-11,1
1733338804,610978206,0,0,0,0,0,1e-11,1
1733338804,639717802,0,0,0,0,0,1e-11,1
1733338804,649920254,0,0,0,0,0,1e-11,1
1733338804,675109038,0,0,0,0,0,1e-11,1
1733338804,690031049,0,0,0,0,0,1e-11,1
1733338804,710058286,0,0,0,0,0,1e-11,1
1733338804,733761649,0,0,0,0,0,1e-11,1
1733338804,750024183,0,0,0,0,0,1e-11,1
1733338804,769969947,0,0,0,0,0,1e-11,1
1733338804,790047744,0,0,0,0,0,1e-11,1
1733338804,810029957,0,0,0,0,0,1e-11,1
1733338804,830074218,0,0,0,0,0,1e-11,1
1733338804,850435889,0,0,0,0,0,1e-11,1
1733338804,870028499,0,0,0,0,0,1e-11,1
1733338804,890045016,0,0,0,0,0,1e-11,1
1733338804,910065692,0,0,0,0,0,1e-11,1
1733338804,930040001,0,0,0,0,0,1e-11,1
1733338804,950040710,0,0,0,0,0,1e-11,1
1733338804,969953161,0,0,0,0,0,1e-11,1
1733338804,990069487,0,0,0,0,0,1e-11,1
1733338805,9995987,0,0,0,0,0,1e-11,1
1733338805,30877279,0,0,0,0,0,1e-11,1
1733338805,50009053,0,0,0,0,0,1e-11,1
1733338805,69965281,0,0,0,0,0,1e-11,1
1733338805,90013990,0,0,0,0,0,1e-11,1
1733338805,110714864,0,0,0,0,0,1e-11,1
1733338805,129984559,0,0,0,0,0,1e-11,1
1733338805,149976468,0,0,0,0,0,1e-11,1
1733338805,169988472,0,0,0,0,0,1e-11,1
1733338805,190232351,0,0,0,0,0,1e-11,1
1733338805,210027458,0,0,0,0,0,1e-11,1
1733338805,229966662,0,0,0,0,0,1e-11,1
1733338805,250048620,0,0,0,0,0,1e-11,1
1733338805,273066505,0,0,0,0,0,1e-11,1
1733338805,289920596,0,0,0,0,0,1e-11,1
1733338805,310819168,0,0,0,0,0,1e-11,1
1733338805,330742916,0,0,0,0,0,1e-11,1
1733338805,353670081,0,0,0,0,0,1e-11,1
1733338805,370083400,0,0,0,0,0,1e-11,1
1733338805,390021708,0,0,0,0,0,1e-11,1
1733338805,410225618,0,0,0,0,0,1e-11,1
1733338805,430040533,0,0,0,0,0,1e-11,1
1733338805,449955417,0,0,0,0,0,1e-11,1
1733338805,470298081,0,0,0,0,0,1e-11,1
1733338805,490031811,0,0,0,0,0,1e-11,1
1733338805,510155369,0,0,0,0,0,1e-11,1
1733338805,532222815,0,0,0,0,0,1e-11,1
1733338805,551473181,0,0,0,0,0,1e-11,1
1733338805,570035990,0,0,0,0,0,1e-11,1
1733338805,590043547,0,0,0,0,0,1e-11,1
1733338805,610778405,0,0,0,0,0,1e-11,1
1733338805,631729746,0,0,0,0,0,1e-11,1
1733338805,649984584,0,0,0,0,0,1e-11,1
1733338805,670877972,0,0,0,0,0,1e-11,1
1733338805,689958161,0,0,0,0,0,1e-11,1
1733338805,714459003,0,0,0,0,0,1e-11,1
1733338805,735415432,0,0,0,0,0,1e-11,1
